text příjmení;četnost
BAJRAMI;14
BALEHA;14
BALOH;14
BANAS;14
BANDA;14
BANK;14
BANYK;14
BAUMGARTNER;14
BELOV;14
BIBEN;14
BIKÁR;14
BUI MINH;14
BURGER;14
BYSMAK;14
CAI;14
CRETU;14
DAM;14
DEMCHENKO;14
DEMKO;14
DO QUANG;14
DYCHKA;14
FEDELESH;14
FEDOROVYCH;14
FILO;14
FORKOSH;14
GONDA;14
GÖTZ;14
GROSS;14
GRYTSAK;14
HADZHEHA;14
HAKOBYAN;14
HASAN;14
HNATYUK;14
HORKAVCHUK;14
HOTRA;14
HRABČÁK;14
HREHIRCHAK;14
HRYADIL;14
HUZO;14
CHABAN;14
CHANG;14
CHORBA;14
CHOVAN;14
CHUBYRKO;14
IVANCHENKO;14
IVANCHO;14
IVANTSIV;14
JURÍK;14
KARAPETYAN;14
KARIMOV;14
KHMARA;14
KINDRAT;14
KMEC;14
KOBRYN;14
KOGUT;14
KOCHAN;14
KOCHERZHUK;14
KOTUBEY;14
KOTYK;14
KOVAČEVIČ;14
KRIŠTOF;14
KRYVKA;14
KUBIŠ;14
KUBÍK;14
KUDLA;14
KURAKH;14
KUT;14
LEMKO;14
LIPOVSKÝ;14
LIŠKA;14
LIZANETS;14
LOGINOV;14
LOZAN;14
LYSAK;14
MAJER;14
MARKULCHAK;14
MARTON;14
MATSKIV;14
MATVIYIV;14
MEIER;14
MERDITA;14
MIHOK;14
MINÁRIK;14
MISHCHENKO;14
MIŠKOVIČ;14
MOROCHYLO;14
MUCHYCHKA;14
MUZYKA;14
NAZARENKO;14
NEDVED;14
NGUYEN DAC;14
NGUYEN DANH;14
NOD;14
NORBA;14
NOWAKOWSKI;14
OMAR;14
